,Treatment,month,mean,sd,median,SE,count,delta,,mean delta,,
1,Amb,6,8.132461899,0.03389486,8.14,0.001160538,853,,,extreme,-0.444600485,0.049544198
2,Amb,7,8.122938564,0.050081666,8.12,0.001362546,1351,,,intermediate,-0.226756472,0.016094695
3,Amb,8,8.124848156,0.072513646,8.12,0.00238811,922,,,,,
4,High,5,7.78206117,0.100857213,7.8,0.003677884,752,,,,,
5,High,6,7.633444347,0.063435032,7.64,0.00187796,1141,-0.499017552,,,,
6,High,7,7.690258885,0.088671166,7.67,0.001857421,2279,-0.432679679,,,,
7,High,8,7.722743933,0.152766686,7.7,0.003399856,2019,-0.402104224,,,,
8,Medium,6,7.898870662,0.033048771,7.9,0.00083012,1585,-0.233591237,,,,
9,Medium,7,7.884632721,0.055688429,7.88,0.001137684,2396,-0.238305843,,,,
10,Medium,8,7.91647582,0.084757249,7.92,0.001998303,1799,-0.208372336,,,,
11,Sea,7,7.952105735,0.190536537,8.05,0.005703562,1116,,,,,
12,Sea,8,8.050111111,3.169741513,7.82,0.078752861,1620,,,,,
