Activity         ,Category,start,end,Item,Duration of surface brooding
Acclimation,Acclimation,5/30/2017,6/4/2017,1,5
Female 1,RCP 4.5,6/9/2017,6/10/2017,2,2
Female 2,RCP 8.5,6/13/2017,6/14/2017,3,2
Female 3,RCP 8.5,NA,NA,3,3
Female 4,RCP 4.5,6/15/2017,6/17/2017,2,2
Female 5,RCP 4.5,6/19/2017,6/20/2017,2,3
Female 6,RCP 4.5,6/19/2017,6/21/2017,2,2
Female 7,RCP 8.5,6/19/2017,6/20/2017,3,2
Female 8,RCP 4.5,6/20/2017,6/21/2017,2,6
Female 9,Ambient,7/5/2017,7/10/2017,4,6
Female 10,Ambient,7/5/2017,7/10/2017,4,6
Female 11,Ambient,7/5/2017,7/10/2017,4,6
Translocated female 1,Reef,7/4/2017,7/9/2017,5,6
Translocated female 2,Reef,7/4/2017,7/9/2017,5,6
Reef colonies,Reef,7/4/2017,7/10/2017,5,8
