colony,aquarium,treatment,source,survival_day 3,survival_day 7,difference
1086,118,RCP 4.5,aquaria,0.88,0.4,0.48
1086,118,RCP 4.5,aquaria,0.96,0.6,0.36
1077,112,RCP 4.5,aquaria,0.857142857,0,0.857142857
1077,112,RCP 4.5,aquaria,0.925,0,0.925
1075,119,RCP 8.5,aquaria,1,0.44,0.56
1075,119,RCP 8.5,aquaria,0.72,0.04,0.68
21,222,RCP 4.5,aquaria,0.742857143,0.085714286,0.657142857
21,222,RCP 4.5,aquaria,0.888888889,0.333333333,0.555555556
1095,118,RCP 4.5,aquaria,0.75,0.333333333,0.416666667
1095,118,RCP 4.5,aquaria,1,0.444444444,0.555555556
1099,114,Ambient,aquaria,0.916666667,0.5,0.416666667
1099,114,Ambient,aquaria,0.9,0.48,0.42
1076,114,Ambient,aquaria,0.857142857,0.614285714,0.242857143
1076,114,Ambient,aquaria,0.928571429,0.857142857,0.071428572
16,115,Ambient,aquaria,0.74,0.5,0.24
16,115,Ambient,aquaria,0.538461538,0.338461538,0.2
sea,110,RCP 8.5,sea,1,0.4375,0.5625
sea,119,RCP 8.5,sea,1,0.9,0.1
sea,110,RCP 8.5,sea,0.9,0.9,0
sea,112,RCP 4.5,sea,0.75,0.75,0
sea,112,RCP 4.5,sea,1,0.9,0.1
sea,118,RCP 4.5,sea,0.733333333,0.7,0.033333333
sea,222,Ambient,sea,0.8,0.7,0.1
sea,217,Ambient,sea,0.68,0.6,0.08
sea,114,Ambient,sea,1,0.7,0.3
